,Combined L/S
2020-03-31,0.016554157284199785
2020-04-30,-0.006001504016024806
2020-05-31,0.006037490621690254
2020-06-30,-0.009980021094500932
2020-07-31,-0.02269474440573749
2020-08-31,0.00867820235735835
2020-09-30,0.014248319821243001
2020-10-31,-0.0016210932746563954
2020-11-30,-0.025837185002800966
2020-12-31,-0.013216879773624231
2021-01-31,0.020445736318294876
2021-02-28,0.02092621614459233
2021-03-31,0.021576740157337865
2021-04-30,-0.02216204129140194
2021-05-31,-0.018511505094656287
2021-06-30,0.04189644600803838
2021-07-31,-0.01350830327193676
2021-08-31,0.07833745236479084
2021-09-30,0.01627238352044534
2021-10-31,0.014989060863256413
2021-11-30,0.04802512290529811
2021-12-31,-0.024956302206223704
2022-01-31,-0.04455771302824185
2022-02-28,-0.04531585593380113
2022-03-31,-0.01299875900257063
2022-04-30,0.0017796513273645002
2022-05-31,-0.035263784605632904
2022-06-30,0.004337828299043028
2022-07-31,0.0063206331319339
2022-08-31,-0.04626252545467461
2022-09-30,-0.039905736096973454
2022-10-31,-0.0053591217048989045
2022-11-30,-0.03208788857532822
2022-12-31,-0.005422664052735247
2023-01-31,-0.019651396392216178
2023-02-28,-0.02579975643578064
2023-03-31,0.018983725010064453
2023-04-30,-0.005661262587980099
2023-05-31,-0.04062622422931506
2023-06-30,-0.09920371214956082
2023-07-31,-0.0016852346594466942
2023-08-31,-0.06007159194110201
2023-09-30,-0.0012585806580220904
2023-10-31,0.038739413097410746
2023-11-30,-0.011990581301200755
2023-12-31,0.00657449254096025
2024-01-31,0.04943088793806929
2024-02-29,-0.0024048394343976556
2024-03-31,0.018002996071395466
2024-04-30,-0.013945086482394725
2024-05-31,0.028548774661581146
2024-06-30,0.021982680778918885
2024-07-31,-0.06465213844794163
2024-08-31,-0.03329524301281487
